"","firstName","gender","numberChildren.x","numberChildren.y"
"3852","Bear","M",186,134
"3853","Bearett","M",20,12
"3854","Beatrice","F",553,540
"3855","Beatrix","F",209,213
"3856","Beatriz","F",138,105
"3857","Beau","F",41,44
"3858","Beau","M",2113,1969
"3859","Beauden","M",16,14
"3860","Beaumont","M",10,9
"3861","Beauregard","M",42,28
"3862","Beautiful","F",55,50
"3863","Beautifull","F",9,11
"3864","Beauty","F",13,12
"3865","Beaux","F",19,20
"3866","Beaux","M",119,98
"3867","Bebe","F",7,10
"3868","Becca","F",62,69
"3869","Beck","M",168,148
"3870","Becka","F",6,6
"3871","Beckam","M",67,71
"3872","Beckem","M",18,12
"3873","Becker","M",25,26
"3874","Becket","M",41,24
"3875","Beckett","F",93,99
"3876","Beckett","M",1827,1817
"3877","Beckham","F",11,16
"3878","Beckham","M",1114,922
"3879","Beckhem","M",9,8
"3880","Beckley","F",8,10
"3881","Beckum","M",5,5
"3882","Becky","F",43,58
"3883","Behr","M",16,14
"3884","Behrett","M",6,6
"3885","Bekah","F",8,6
"3886","Bela","F",25,16
"3887","Bela","M",6,7
"3888","Belal","M",21,17
"3889","Belen","F",373,296
"3890","Belia","F",9,5
"3891","Belicia","F",5,7
"3892","Belinda","F",182,192
"3893","Belize","F",7,5
"3894","Bella","F",3641,3778
"3895","Bellaann","F",6,5
"3896","Belladonna","F",22,17
"3897","Bellagrace","F",11,10
"3898","Bellah","F",17,30
"3899","Bellamarie","F",16,21
"3900","Bellami","F",15,11
"3901","Bellamie","F",17,15
"3902","Bellamy","F",231,184
"3903","Bellamy","M",56,24
"3904","Bellanie","F",8,9
"3905","Bellany","F",13,14
"3906","Bellarose","F",68,60
"3907","Bellatrix","F",24,5
"3908","Belle","F",291,249
"3909","Bemnet","F",12,6
"3910","Ben","M",347,330
"3911","Benaiah","M",123,121
"3912","Bence","M",6,8
"3913","Benedict","M",151,152
"3914","Benelli","F",12,13
"3915","Benett","M",5,11
"3916","Beni","F",6,5
"3917","Beni","M",5,9
"3918","Beniah","M",12,14
"3919","Benicio","M",208,132
"3920","Benita","F",14,22
"3921","Benito","M",79,87
"3922","Benjamen","M",25,13
"3923","Benjamin","F",12,18
"3924","Benjamin","M",14569,13670
"3925","Benjamyn","M",16,12
"3926","Benjerman","M",6,5
"3927","Benji","M",49,55
"3928","Benjiman","M",18,22
"3929","Bennet","M",64,54
"3930","Bennett","F",87,104
"3931","Bennett","M",2919,2702
"3932","Bennie","F",12,6
"3933","Bennie","M",44,52
"3934","Benno","M",6,12
"3935","Benny","M",121,118
"3936","Benoit","M",8,7
"3937","Bensen","M",31,31
"3938","Benson","M",721,629
"3939","Bensyn","M",29,13
"3940","Bentlee","F",59,53
"3941","Bentlee","M",277,316
"3942","Bentleigh","F",25,38
"3943","Bentleigh","M",6,8
"3944","Bentley","F",149,184
"3945","Bentley","M",4026,4304
"3946","Bentli","F",14,6
"3947","Bentli","M",6,8
"3948","Bentlie","F",8,7
"3949","Bentlie","M",6,7
"3950","Bently","M",117,140
"3951","Benton","M",275,253
"3952","Bentzion","M",14,29
"3953","Benuel","M",15,28
"3954","Benyamin","M",39,32
"3955","Benz","M",8,13
"3956","Benzion","M",25,33
"3957","Beorn","M",7,9
"3958","Beowulf","M",8,6
"3959","Berel","M",12,6
"3960","Beren","F",7,9
"3961","Beren","M",11,14
"3962","Berenice","F",89,58
"3963","Beretta","F",21,13
"3964","Bergen","F",12,21
"3965","Bergen","M",8,11
"3966","Beric","M",6,8
"3967","Berish","M",10,14
"3968","Berit","F",16,11
"3969","Berk","M",5,5
"3970","Berkeley","F",116,108
"3971","Berkeley","M",16,17
"3972","Berklee","F",105,73
"3973","Berklee","M",6,5
"3974","Berkleigh","F",42,34
"3975","Berkley","F",227,242
"3976","Berkley","M",46,46
"3977","Berklie","F",12,17
"3978","Berl","M",21,21
"3979","Berlin","F",75,75
"3980","Berlin","M",5,11
"3981","Berlyn","F",27,30
"3982","Berlynn","F",26,25
"3983","Bernabe","M",10,13
"3984","Bernadette","F",145,154
"3985","Bernard","M",163,150
"3986","Bernardino","M",5,11
"3987","Bernardo","M",136,131
"3988","Bernice","F",53,56
"3989","Bernie","M",21,11
"3990","Berny","M",6,5
"3991","Berry","M",10,11
"3992","Bert","M",14,12
"3993","Berta","F",5,5
"3994","Bertha","F",34,30
"3995","Bertram","M",6,13
"3996","Bertrand","M",11,5
"3997","Beryl","F",9,9
"3998","Besan","F",6,9
"3999","Bess","F",6,6
"4000","Bessie","F",8,11
"4001","Betania","F",19,14
"4002","Beth","F",39,44
"4003","Bethania","F",16,14
"4004","Bethanie","F",32,33
"4005","Bethanny","F",6,12
"4006","Bethany","F",687,763
"4007","Bethel","F",79,70
"4008","Bethlehem","F",11,24
"4009","Bethsaida","F",8,8
"4010","Betsabe","F",32,30
"4011","Betsaida","F",31,32
"4012","Betselot","F",12,5
"4013","Betsy","F",106,125
"4014","Bette","F",14,9
"4015","Bettie","F",7,9
"4016","Bettina","F",13,6
"4017","Betty","F",176,191
"4018","Betul","F",10,10
"4019","Betzabe","F",5,8
"4020","Betzabeth","F",6,17
"4021","Betzaida","F",17,27
"4022","Betzalel","M",10,14
"4023","Betzy","F",16,14
"4024","Beulah","F",15,14
"4025","Bevan","M",5,8
"4026","Beverley","F",7,5
"4027","Beverly","F",165,153
"4028","Bexlee","F",45,19
"4029","Bexleigh","F",30,12
"4030","Bexley","F",275,202
"4031","Bexley","M",13,8
"4032","Bexli","F",7,5
"4033","Bexton","M",10,6
"4034","Beya","F",9,14
"4035","Beyla","F",6,15
"4036","Beyonce","F",6,10
"4037","Beza","F",7,7
"4038","Bezaleel","M",5,6
"4039","Bhargav","M",9,10
"4040","Bhavik","M",9,8
"4041","Bhavika","F",9,7
"4042","Bhavin","M",8,6
"4043","Bhavya","F",17,12
"4044","Bhuvan","M",8,5
"4045","Biagio","M",6,9
"4046","Biak","F",7,9
"4047","Bianca","F",849,857
"4048","Bianey","F",9,9
"4049","Bianka","F",51,41
"4050","Bibi","F",17,13
"4051","Bibiana","F",22,27
"4052","Bijan","M",10,6
"4053","Bijou","F",11,10
"4054","Bilal","M",167,151
"4055","Bilen","F",8,5
"4056","Bill","M",38,33
"4057","Billi","F",7,8
"4058","Billie","F",96,97
"4059","Billy","M",258,281
"4060","Bina","F",15,20
"4061","Bindi","F",25,8
"4062","Bingham","M",13,12
"4063","Binta","F",15,15
"4064","Bintou","F",27,24
"4065","Bintu","F",5,6
"4066","Binyamin","M",50,40
"4067","Binyomin","M",34,48
"4068","Birch","M",11,6
"4069","Birdie","F",80,64
"4070","Biruk","M",12,12
"4071","Bishop","M",187,207
"4072","Bisma","F",5,5
"4073","Bitania","F",8,7
"4074","Bithiah","F",5,7
"4075","Bjorn","M",150,99
"4076","Blade","M",30,44
"4077","Bladen","M",35,45
"4078","Bladimir","M",28,23
"4079","Blaiden","M",12,9
"4080","Blaike","F",18,12
"4081","Blaike","M",6,6
"4082","Blaiklee","F",8,7
"4083","Blain","M",21,22
"4084","Blaine","F",19,14
"4085","Blaine","M",355,399
"4086","Blair","F",594,483
"4087","Blair","M",83,70
"4088","Blaire","F",287,215
"4089","Blaise","F",24,24
"4090","Blaise","M",236,283
"4091","Blaize","F",8,5
"4092","Blaize","M",71,78
"4093","Blake","F",1091,751
"4094","Blake","M",3269,4220
"4095","Blakelee","F",74,68
"4096","Blakeleigh","F",58,48
"4097","Blakeley","F",60,73
"4098","Blakeli","F",13,7
"4099","Blakely","F",1173,918
"4100","Blakely","M",20,20
"4101","Blakelyn","F",77,66
"4102","Blakelynn","F",53,36
"4103","Blaklee","F",10,9
"4104","Blakleigh","F",10,10
"4105","Blakley","F",33,23
"4106","Blanca","F",121,116
"4107","Blane","M",43,39
"4108","Blas","M",23,21
"4109","Blase","M",7,9
"4110","Blayde","M",8,10
"4111","Blayden","M",32,51
"4112","Blayke","F",114,56
"4113","Blayke","M",20,17
"4114","Blayklee","F",11,14
"4115","Blayne","F",16,17
"4116","Blayne","M",65,78
"4117","Blayre","F",5,7
"4118","Blayton","M",8,5
"4119","Blayze","F",5,8
"4120","Blayze","M",60,57
"4121","Blaze","F",13,16
"4122","Blaze","M",259,351
"4123","Blen","F",20,27
"4124","Bless","F",16,14
"4125","Bless","M",17,28
"4126","Blessed","F",13,15
"4127","Blessed","M",11,7
"4128","Blessen","F",11,5
"4129","Blessin","F",21,23
"4130","Blessing","F",190,184
"4131","Blessing","M",23,27
"4132","Blessings","F",12,12
"4133","Blessyn","F",28,34
"4134","Bleu","F",5,6
"4135","Bleu","M",7,11
"4136","Blima","F",54,36
"4137","Blimi","F",6,5
"4138","Blimie","F",5,7
"4139","Blimy","F",29,30
"4140","Bliss","F",40,46
"4141","Bliss","M",5,7
"4142","Blossom","F",40,41
"4143","Blu","F",12,10
"4144","Blu","M",15,14
"4145","Blue","F",16,20
"4146","Blue","M",23,32
"4147","Bluma","F",17,18
"4148","Blyss","F",9,7
"4149","Blythe","F",168,152
"4150","Blythe","M",6,6
"4151","Bo","F",27,17
"4152","Bo","M",450,434
"4153","Boaz","M",157,132
"4154","Bob","M",13,14
"4155","Bobbi","F",68,67
"4156","Bobbie","F",33,43
"4157","Bobby","M",313,327
"4158","Bocephus","M",6,6
"4159","Bode","M",203,263
"4160","Bodee","M",31,36
"4161","Boden","M",179,210
"4162","Bodey","M",22,36
"4163","Bodhi","F",37,16
"4164","Bodhi","M",909,583
"4165","Bodhin","M",6,5
"4166","Bodi","M",48,38
"4167","Bodie","M",275,213
"4168","Bodin","M",18,11
"4169","Bodyn","M",6,6
"4170","Boe","M",39,39
"4171","Boen","M",10,7
"4172","Bogdan","M",23,28
"4173","Bohannon","M",16,6
"4174","Bohdan","M",27,14
"4175","Bohden","M",8,9
"4176","Bohdi","M",41,20
"4177","Bolton","M",12,12
"4178","Bond","M",12,5
"4179","Bonham","M",8,6
"4180","Bonita","F",19,15
"4181","Bonnie","F",309,321
"4182","Booker","M",58,54
"4183","Boomer","M",12,5
"4184","Boone","M",293,222
"4185","Bora","F",15,12
"4186","Bora","M",17,12
"4187","Boris","M",47,48
"4188","Boruch","M",28,37
"4189","Bosco","M",24,25
"4190","Boss","M",14,9
"4191","Bosten","M",5,5
"4192","Boston","F",49,37
"4193","Boston","M",414,447
"4194","Bostyn","F",61,40
"4195","Bostyn","M",15,16
"4196","Bostynn","F",5,9
"4197","Boubacar","M",27,18
"4198","Bow","M",12,17
"4199","Bowan","M",5,6
"4200","Bowden","M",32,17
"4201","Bowdy","M",8,6
"4202","Bowe","M",11,12
"4203","Bowen","F",15,15
"4204","Bowen","M",636,555
"4205","Bowie","F",75,43
"4206","Bowie","M",130,53
"4207","Bowman","M",43,41
"4208","Bowyn","M",15,13
"4209","Boy","M",19,26
"4210","Boyan","M",9,12
"4211","Boyce","M",13,10
"4212","Boyd","M",98,81
"4213","Brace","M",5,6
"4214","Bracha","F",69,91
"4215","Bracken","M",15,8
"4216","Brad","M",50,88
"4217","Bradan","M",12,13
"4218","Braddock","M",31,23
"4219","Braden","M",593,753
"4220","Bradford","M",68,63
"4221","Bradie","F",10,6
"4222","Bradlee","F",30,42
"4223","Bradlee","M",55,74
"4224","Bradleigh","F",36,31
"4225","Bradley","F",58,51
"4226","Bradley","M",2040,2395
"4227","Bradlie","F",6,7
"4228","Bradly","M",26,34
"4229","Bradon","M",12,17
"4230","Brady","F",41,36
"4231","Brady","M",1745,2026
"4232","Bradyn","M",81,122
"4233","Brae","F",8,9
"4234","Braedan","M",22,21
"4235","Braeden","M",203,293
"4236","Braedon","M",37,68
"4237","Braedyn","F",12,9
"4238","Braedyn","M",75,83
"4239","Braelee","F",18,28
"4240","Braeleigh","F",37,29
"4241","Braelen","M",9,11
"4242","Braeley","F",7,11
"4243","Braelin","F",6,7
"4244","Braelin","M",13,15
"4245","Braelon","M",8,20
"4246","Braelyn","F",640,680
"4247","Braelyn","M",61,78
"4248","Braelynn","F",803,682
"4249","Braelynn","M",14,7
"4250","Braelynne","F",16,15
"4251","Braeson","M",11,8
"4252","Brahm","M",21,17
"4253","Braiden","M",233,240
"4254","Braidon","M",10,11
"4255","Braidyn","M",29,37
"4256","Brailee","F",35,54
"4257","Braileigh","F",9,11
"4258","Brailen","M",14,14
"4259","Brailey","F",46,51
"4260","Brailyn","F",53,53
"4261","Brailyn","M",25,19
"4262","Brailynn","F",66,60
"4263","Brais","M",6,7
"4264","Braison","M",13,10
"4265","Bralee","F",5,6
"4266","Braleigh","F",29,37
"4267","Bralen","M",14,11
"4268","Braley","F",7,11
"4269","Bralyn","F",18,11
"4270","Bralyn","M",17,28
"4271","Bralynn","F",43,38
"4272","Bralynn","M",9,10
"4273","Bram","M",71,48
"4274","Bran","M",13,12
"4275","Branch","M",74,38
"4276","Brand","M",5,6
"4277","Brandan","M",19,21
"4278","Brandee","F",10,11
"4279","Branden","M",150,185
"4280","Brandi","F",81,108
"4281","Brandie","F",11,15
"4282","Brandin","M",16,16
"4283","Brando","M",36,41
"4284","Brandon","M",4076,5100
"4285","Brandt","M",85,114
"4286","Brandtley","M",8,8
"4287","Brandtly","M",5,7
"4288","Brandy","F",80,66
"4289","Brandy","M",12,11
"4290","Brandyn","M",29,44
"4291","Braniya","F",5,5
"4292","Braniyah","F",10,7
"4293","Branna","F",6,7
"4294","Brannon","M",32,33
"4295","Bransen","M",46,37
"4296","Branson","M",360,359
"4297","Branston","M",12,7
"4298","Bransyn","M",26,28
"4299","Brant","M",80,81
"4300","Brantlee","F",16,16
"4301","Brantlee","M",215,302
"4302","Brantleigh","F",11,20
"4303","Brantley","F",31,55
"4304","Brantley","M",2592,3290
"4305","Brantly","M",29,62
"4306","Branton","M",14,30
"4307","Brantson","M",7,10
"4308","Brasen","M",9,9
"4309","Brasi","M",5,7
"4310","Brason","M",5,9
"4311","Braulio","M",92,99
"4312","Braun","M",7,6
"4313","Brave","M",29,21
"4314","Braven","M",51,51
"4315","Bravery","F",6,10
"4316","Bravery","M",18,8
"4317","Brax","M",30,23
"4318","Braxden","M",9,17
"4319","Braxley","F",7,7
"4320","Braxley","M",6,10
"4321","Braxon","M",27,37
"4322","Braxson","M",12,14
"4323","Braxston","M",18,21
"4324","Braxten","M",96,103
"4325","Braxtin","M",27,26
"4326","Braxton","F",31,28
"4327","Braxton","M",3279,3290
"4328","Braxtyn","F",30,20
"4329","Braxtyn","M",111,119
"4330","Braxxton","M",14,12
"4331","Bray","F",9,6
"4332","Bray","M",21,26
"4333","Braya","F",25,34
"4334","Brayah","F",10,15
"4335","Brayan","M",411,461
"4336","Braycen","M",27,15
"4337","Braydan","M",38,40
"4338","Brayden","F",20,15
"4339","Brayden","M",5679,6241
"4340","Braydin","M",38,42
"4341","Braydn","M",9,11
"4342","Braydon","M",378,489
"4343","Braydyn","M",22,25
"4344","Brayla","F",39,27
"4345","Braylah","F",6,6
"4346","Braylan","M",50,66
"4347","Braylea","F",9,11
"4348","Braylee","F",478,549
"4349","Braylee","M",7,9
"4350","Braylei","F",8,11
"4351","Brayleigh","F",165,174
"4352","Braylen","F",38,43
"4353","Braylen","M",696,751
"4354","Brayley","F",18,20
"4355","Brayli","F",9,18
"4356","Braylie","F",50,44
"4357","Braylin","F",90,82
"4358","Braylin","M",185,195
"4359","Braylinn","F",11,13
"4360","Braylon","F",8,15
"4361","Braylon","M",734,811
"4362","Braylyn","F",40,30
"4363","Braylyn","M",25,28
"4364","Braylynn","F",111,107
"4365","Braylynn","M",12,17
"4366","Brayon","M",9,11
"4367","Braysen","M",39,36
"4368","Brayson","M",214,188
"4369","Brayten","M",8,6
"4370","Brayton","M",66,80
"4371","Brayven","M",5,5
"4372","Brazen","M",8,8
"4373","Brazil","F",22,13
"4374","Brazos","M",22,16
"4375","Brea","F",99,114
"4376","Breah","F",21,35
"4377","Breaker","M",11,9
"4378","Brealyn","F",10,5
"4379","Brealynn","F",19,27
"4380","Breana","F",34,40
"4381","Breann","F",26,26
"4382","Breanna","F",358,427
"4383","Breanne","F",44,54
"4384","Breasia","F",25,45
"4385","Breccan","M",35,39
"4386","Breck","F",7,5
"4387","Breck","M",85,75
"4388","Breckan","M",6,11
"4389","Brecken","F",31,25
"4390","Brecken","M",330,334
"4391","Breckin","F",5,9
"4392","Breckin","M",53,69
"4393","Brecklyn","F",50,52
"4394","Brecklynn","F",23,15
"4395","Breckon","M",14,15
"4396","Breckyn","F",45,56
"4397","Breckyn","M",17,28
"4398","Bree","F",192,220
"4399","Breea","F",7,8
"4400","Breeana","F",11,11
"4401","Breeanna","F",8,12
"4402","Breelan","F",7,7
"4403","Breeley","F",6,5
"4404","Breella","F",7,8
"4405","Breelle","F",9,16
"4406","Breelyn","F",66,83
"4407","Breelynn","F",44,44
"4408","Breena","F",12,15
"4409","Brees","M",9,10
"4410","Breeze","F",24,24
"4411","Breeze","M",8,6
"4412","Breezy","F",14,15
"4413","Breighlyn","F",11,8
"4414","Breighton","M",5,7
"4415","Breindel","F",7,6
"4416","Breindy","F",18,13
"4417","Brek","M",11,16
"4418","Breken","M",6,10
"4419","Brekken","M",35,29
"4420","Breklyn","F",12,10
"4421","Brekyn","F",8,13
"4422","Brekyn","M",5,7
"4423","Breland","M",8,6
"4424","Brelee","F",6,6
"4425","Breleigh","F",22,18
"4426","Brelyn","F",17,18
"4427","Brelynn","F",74,53
"4428","Bren","F",7,7
"4429","Bren","M",11,11
"4430","Brena","F",15,18
"4431","Brenan","M",7,12
"4432","Brenda","F",338,349
"4433","Brendalynn","F",7,5
"4434","Brendan","M",683,821
"4435","Brenden","M",203,241
"4436","Brendin","M",5,8
"4437","Brendon","M",124,171
"4438","Brendy","F",8,9
"4439","Brendyn","M",32,36
"4440","Brenham","M",6,6
"4441","Brenlee","F",34,38
"4442","Brenleigh","F",28,33
"4443","Brenley","F",48,52
"4444","Brenlie","F",6,6
"4445","Brenlyn","F",7,5
"4446","Brenlynn","F",10,13
"4447","Brenna","F",302,354
"4448","Brennan","F",35,39
"4449","Brennan","M",545,686
"4450","Brennen","M",124,141
"4451","Brenner","M",42,35
"4452","Brennon","M",49,64
"4453","Brennyn","F",6,5
"4454","Brenson","M",16,9
"4455","Brent","M",209,250
"4456","Brenten","M",10,15
"4457","Brentlee","F",8,9
"4458","Brentlee","M",75,87
"4459","Brentley","F",16,12
"4460","Brentley","M",322,409
"4461","Brently","M",76,92
"4462","Brenton","M",167,170
"4463","Brentyn","M",8,9
"4464","Brenya","F",7,8
"4465","Breon","M",29,39
"4466","Breonna","F",25,27
"4467","Breslin","F",9,20
"4468","Breslin","M",9,12
"4469","Breslyn","F",19,17
"4470","Bret","M",33,32
"4471","Breton","M",6,9
"4472","Brett","F",22,5
"4473","Brett","M",332,321
"4474","Brettley","M",5,9
"4475","Bretton","M",10,11
"4476","Brevan","M",5,7
"4477","Brevin","M",19,26
"4478","Brevyn","M",9,17
"4479","Brewer","M",31,31
"4480","Brex","M",7,6
"4481","Brexlee","F",19,5
"4482","Brexley","F",25,14
"4483","Brexlyn","F",6,6
"4484","Brexten","M",7,7
"4485","Brextin","M",5,5
"4486","Brexton","M",74,42
"4487","Breya","F",19,27
"4488","Breyah","F",6,7
"4489","Breyana","F",6,10
"4490","Breyanna","F",8,8
"4491","Breydan","M",16,10
"4492","Breyden","M",28,42
"4493","Breydon","M",17,14
"4494","Breyer","M",13,8
"4495","Breylen","M",10,8
"4496","Breylin","M",8,9
"4497","Breylon","M",11,11
"4498","Breylynn","F",5,5
"4499","Breyon","M",17,13
"4500","Breyonna","F",5,7
"4501","Breyson","M",18,16
"4502","Brezlyn","F",5,6
"4503","Bri","F",9,13
"4504","Bria","F",364,442
"4505","Briah","F",25,26
"4506","Brian","M",1965,2208
"4507","Briana","F",719,763
"4508","Brianda","F",26,19
"4509","Briann","F",8,15
"4510","Brianna","F",3076,3464
"4511","Briannah","F",19,21
"4512","Brianne","F",63,77
"4513","Brianni","F",7,5
"4514","Brianny","F",40,26
"4515","Briany","F",22,11
"4516","Briar","F",353,333
"4517","Briar","M",201,203
"4518","Briarrose","F",18,14
"4519","Briasia","F",27,24
"4520","Brice","F",7,12
"4521","Brice","M",193,245
"4522","Bricen","M",39,41
"4523","Briceson","M",11,12
"4524","Briceyda","F",9,6
"4525","Brick","M",13,14
"4526","Bricyn","M",9,10
"4527","Bridger","M",259,198
"4528","Bridget","F",506,581
"4529","Bridgett","F",24,42
"4530","Bridgette","F",129,145
"4531","Bridgit","F",8,14
"4532","Bridgitte","F",5,9
"4533","Brie","F",75,64
"4534","Brieana","F",8,8
"4535","Brieann","F",5,5
"4536","Brieanna","F",19,17
"4537","Briel","F",18,37
"4538","Briele","F",8,8
"4539","Briell","F",5,13
"4540","Briella","F",904,907
"4541","Briellah","F",5,9
"4542","Brielle","F",2651,2530
"4543","Brielyn","F",20,15
"4544","Brielynn","F",19,19
"4545","Brien","M",7,9
"4546","Brienna","F",31,24
"4547","Brienne","F",29,31
"4548","Brier","F",13,16
"4549","Brier","M",30,22
"4550","Brigette","F",14,31
"4551","Brigg","M",11,10
"4552","Briggs","M",397,323
"4553","Briggston","M",8,9
"4554","Brigham","M",119,101
"4555","Brighid","F",10,9
"4556","Bright","M",7,10
"4557","Brighten","M",10,12
"4558","Brightly","F",5,8
"4559","Brighton","F",100,103
"4560","Brighton","M",121,148
"4561","Brightyn","F",7,12
"4562","Brigid","F",78,80
"4563","Brigit","F",10,10
"4564","Brigitta","F",9,7
"4565","Brigitte","F",96,130
"4566","Brihana","F",18,11
"4567","Brihanna","F",23,45
"4568","Brij","M",6,6
"4569","Brilee","F",59,67
"4570","Brileigh","F",39,65
"4571","Briley","F",267,297
"4572","Briley","M",18,30
"4573","Brilyn","F",20,11
"4574","Brilynn","F",62,64
"4575","Brin","F",7,7
"4576","Brina","F",14,12
"4577","Brinda","F",5,9
"4578","Brindle","F",6,9
"4579","Brindley","F",7,9
"4580","Brinklee","F",8,5
"4581","Brinkley","F",47,72
"4582","Brinlee","F",175,176
"4583","Brinleigh","F",64,59
"4584","Brinley","F",979,784
"4585","Brinley","M",7,8
"4586","Brinly","F",7,7
"4587","Brinlyn","F",7,8
"4588","Brinlynn","F",8,16
"4589","Brinn","F",18,22
"4590","Brinna","F",6,13
"4591","Brinnley","F",29,23
"4592","Brinslee","F",5,6
"4593","Brinsley","F",16,13
"4594","Brinton","M",13,8
"4595","Brion","M",14,21
"4596","Briona","F",11,7
"4597","Brionna","F",32,31
"4598","Briony","F",6,9
"4599","Brisa","F",176,192
"4600","Briseida","F",64,75
"4601","Briseis","F",61,68
"4602","Briseyda","F",59,70
"4603","Brison","M",45,54
"4604","Brissa","F",89,92
"4605","Brissia","F",8,6
"4606","Bristal","F",18,25
"4607","Bristol","F",585,705
"4608","Bristol","M",15,12
"4609","Briston","M",11,15
"4610","Bristyl","F",6,12
"4611","Bristyn","F",10,6
"4612","Brita","F",9,5
"4613","Britain","F",25,33
"4614","Britain","M",31,31
"4615","Britani","F",5,15
"4616","Britanny","F",18,21
"4617","Britany","F",46,61
"4618","Brithany","F",41,56
"4619","British","F",15,21
"4620","Britley","F",7,7
"4621","Britney","F",158,190
"4622","Briton","M",10,9
"4623","Britt","F",7,9
"4624","Britt","M",19,11
"4625","Britta","F",41,58
"4626","Brittain","F",5,12
"4627","Brittain","M",6,7
"4628","Brittan","F",16,16
"4629","Brittan","M",6,7
"4630","Brittani","F",11,18
"4631","Brittanie","F",5,9
"4632","Brittany","F",570,687
"4633","Britten","M",11,7
"4634","Brittish","F",15,6
"4635","Brittlyn","F",5,5
"4636","Brittney","F",98,110
"4637","Britton","F",61,78
"4638","Britton","M",104,106
"4639","Brittyn","F",24,22
"4640","Brityn","F",9,7
"4641","Brix","M",24,20
"4642","Brixley","F",11,9
"4643","Brixon","M",9,11
"4644","Brixton","F",19,24
"4645","Brixton","M",247,209
"4646","Brixtyn","F",8,7
"4647","Briya","F",12,8
"4648","Briyah","F",9,16
"4649","Briyana","F",5,8
"4650","Briyanna","F",7,14
"4651","Briyelle","F",9,8
"4652","Briyith","F",5,6
"4653","Briza","F",16,29
"4654","Brizeida","F",7,6
"4655","Broc","M",14,29
"4656","Brocha","F",20,19
"4657","Brock","M",684,678
"4658","Brockton","M",17,15
"4659","Brodee","M",22,26
"4660","Broden","M",44,59
"4661","Broderick","M",154,158
"4662","Brodey","M",22,19
"4663","Brodi","M",28,26
"4664","Brodie","F",18,12
"4665","Brodie","M",303,323
"4666","Brodin","M",5,5
"4667","Brodix","M",5,6
"4668","Brodrick","M",13,27
"4669","Brody","F",10,17
"4670","Brody","M",3035,3734
"4671","Brodyn","M",13,16
"4672","Brogan","F",24,16
"4673","Brogan","M",135,155
"4674","Brok","M",5,6
"4675","Brolin","M",5,5
"4676","Broly","M",20,20
"4677","Brom","M",6,7
"4678","Bronc","M",5,13
"4679","Bronson","M",341,382
"4680","Bronsyn","M",10,7
"4681","Bronte","F",10,8
"4682","Bronwen","F",9,7
"4683","Bronwyn","F",52,44
"4684","Bronx","M",124,111
"4685","Bronxton","M",8,5
"4686","Brook","F",83,71
"4687","Brook","M",12,13
"4688","Brooke","F",1856,2146
"4689","Brookelyn","F",64,77
"4690","Brookelynn","F",96,116
"4691","Brookelynne","F",10,5
"4692","Brooklee","F",9,11
"4693","Brooklen","F",6,6
"4694","Brooklin","F",50,59
"4695","Brooklinn","F",10,7
"4696","Brooklyn","F",5922,6291
"4697","Brooklyn","M",68,66
"4698","Brooklyne","F",15,15
"4699","Brooklynn","F",1649,1882
"4700","Brooklynne","F",62,86
"4701","Brooks","F",30,32
"4702","Brooks","M",1663,1652
"4703","Broox","M",11,5
"4704","Browning","M",6,7
"4705","Brox","M",6,5
"4706","Broxton","M",13,24
"4707","Bruce","M",697,762
"4708","Brucha","F",20,12
"4709","Bruchy","F",19,24
"4710","Bruin","M",25,17
"4711","Bruk","M",11,5
"4712","Bruna","F",13,18
"4713","Bruno","M",382,348
"4714","Brya","F",9,7
"4715","Bryah","F",9,12
"4716","Bryan","M",2110,2485
"4717","Bryana","F",50,63
"4718","Bryanna","F",244,359
"4719","Bryant","M",465,425
"4720","Bryar","F",49,50
"4721","Bryar","M",76,83
"4722","Bryce","F",70,80
"4723","Bryce","M",2827,3119
"4724","Brycelyn","F",7,8
"4725","Brycelynn","F",9,9
"4726","Brycen","M",635,668
"4727","Bryceon","M",8,5
"4728","Bryceson","M",14,34
"4729","Bryceton","M",8,13
"4730","Brycin","M",18,18
"4731","Brydan","M",7,5
"4732","Bryden","M",84,97
"4733","Brydon","M",15,18
"4734","Bryella","F",7,9
"4735","Bryelle","F",36,27
"4736","Bryen","M",9,5
"4737","Bryer","F",19,22
"4738","Bryer","M",88,120
"4739","Bryker","M",7,9
"4740","Brylan","M",60,65
"4741","Brylea","F",8,9
"4742","Brylee","F",599,675
"4743","Brylee","M",6,20
"4744","Brylei","F",17,18
"4745","Bryleigh","F",314,319
"4746","Brylen","F",6,5
"4747","Brylen","M",41,28
"4748","Bryler","M",15,18
"4749","Bryley","F",17,20
"4750","Bryli","F",10,9
"4751","Brylie","F",78,120
"4752","Brylin","F",15,23
"4753","Brylin","M",20,12
"4754","Brylinn","F",8,9
"4755","Brylon","M",33,33
"4756","Brylyn","F",5,5
"4757","Brylynn","F",31,33
"4758","Bryn","F",178,216
"4759","Bryn","M",16,15
"4760","Bryna","F",20,15
"4761","Bryndal","F",10,6
"4762","Brynden","M",8,5
"4763","Bryndle","F",44,31
"4764","Brynja","F",6,7
"4765","Brynlea","F",17,17
"4766","Brynlee","F",1428,1317
"4767","Brynlei","F",11,7
"4768","Brynleigh","F",206,217
"4769","Brynley","F",190,204
"4770","Brynli","F",21,22
"4771","Brynlie","F",65,62
"4772","Brynlynn","F",16,17
